text,task1_signal,task2_category,task3_context,dialect,annotator_notes
"Je ne vois plus d'avenir, tout s'effondre autour de moi",1,depression|isolation,loneliness|financial_stress,french,"Signal fort, contexte multi-facteurs"
"La vie est belle aujourd'hui, je suis plein d'énergie !",0,,,french,"Positif, aucun signal"
"M bi kɛ dɔ, n ma se ka fɛ a la",1,depression,loneliness,moore,"Détresse exprimée en Moore"
"Je pense à mourir parfois, je ne sais plus quoi faire",1,suicidal_ideation|depression,loneliness|illness,french,"⚠️ Signal critique — routage SOS immédiat"
"An b'a ɲɛ k'an taara sigi ɲɔgɔn fɛ laban",0,,,dioula,"Discussion sociale neutre"
"Je pleure tous les soirs sans raison depuis des semaines",1,depression|anxiety,grief|loneliness,french,"Durée chronique — alarme"
"Yaa kẽ, m na paas",0,,,moore,"Expression positive en Moore"
"Mon mari m'a abandonnée avec 3 enfants, je n'en peux plus",1,depression|burnout,family_conflict|financial_stress,french,"Contexte familial difficile"
"On va faire la fête ce soir entre amis !",0,,,french,"Social et positif"
"N bɛ ni diɲɛ bɛɛ laban, o t'a sɔrɔ",1,depression,loneliness,dioula,"Signale épuisement en Dioula"
"Je cherche du travail depuis 8 mois, ma famille souffre",1,burnout|depression,unemployment|financial_stress,french,"Contexte chômage — signal modéré"
"Rasmata a welme ne zãmsd wã toa",0,,,moore,"Neutre en Moore"
"Je ne dors plus, je ressasse les mêmes pensées en boucle",1,anxiety|depression,loneliness,french,"Signal anxiété chronique"
"Les enfants ont bien mangé ce soir, Dieu merci",0,,,french,"Gratitude — positif"
"N tɛ se ka sɔn dɔ, aw bɛɛ tɛna ne dɛmɛ",1,depression|isolation,loneliness,dioula,"Sentiment d'abandon en Dioula"
"Yɩl-a mam kõs-a, m tara sõng-rã",0,,,moore,"Neutre/positif en Moore"
"Depuis la mort de ma mère, je ne suis plus moi-même",1,depression|grief,grief|loneliness,french,"Deuil — signal fort"
"Je vais bien, j'ai eu une belle journée au champ",0,,,french,"Positif, travail quotidien"
"Tin rîmdi mam yaa, m na wa a la",1,depression,loneliness,moore,"Signal de détresse en Moore"
"Nous avons célébré le mariage de mon frère",0,,,french,"Événement festif"
"Je ne veux plus me lever le matin, à quoi ça sert",1,depression|burnout,loneliness,french,"Anhédonie — signal modéré fort"
"An sera ka sɔrɔ kɛnɛya ɲuman",0,,,dioula,"Positif en Dioula"
"Mon patron m'a humilié devant tout le monde, je honte",1,anxiety|depression,family_conflict,french,"Honte sociale — signal"
"Yaa kẽ, m na yɩ sõngo ne wã",0,,,moore,"Positif en Moore"
"Mes dettes s'accumulent, je pense parfois à tout quitter",1,suicidal_ideation|depression,financial_stress|unemployment,french,"⚠️ Idéation suicidaire + contexte financier"
"An be na kɛnɛ, an bolo be a la",0,,,dioula,"Confiance — positif"
"Personne ne m'écoute dans cette maison, je suis invisible",1,depression|isolation,family_conflict|loneliness,french,"Invisibilité familiale"
"M tara pʊga sõnga, tõnd be tũudum",0,,,moore,"Célébration familiale"
"Je pense souvent à m'en aller loin de tout le monde",1,suicidal_ideation|depression,loneliness|family_conflict,french,"⚠️ Signal fort"
"An taara ka dɔgɔtɔrɔ kule, a y'an fe",0,,,dioula,"Soin de santé positif"
"Depuis la violence que j'ai vécue, je n'arrive plus à dormir",1,anxiety|depression,violence|illness,french,"Trauma — signal fort"
"Rãmb yaa ne m la, tõnd bée tũud-a",0,,,moore,"Célébration en Moore"
"Je prends des médicaments mais ça ne va pas mieux",1,depression|anxiety,illness,french,"Traitement insuffisant — signal"
"N' sé dɔgɔ ni n' do, ne sé taa",0,,,dioula,"Positif — autonomie"
"Ma femme m'a quitté, je ne sors plus de chez moi",1,depression|isolation,family_conflict|loneliness,french,"Isolement post-séparation"
"Yaa sõng n yɩnga, yaa kẽ ne mam",0,,,moore,"Bienveillance — positif"
"Je pleure secrètement pour ne pas inquiéter mes enfants",1,depression|burnout,grief|family_conflict,french,"Souffrance cachée — signal"
"An bɛ na dɔn ka sabati", 0,,,dioula,"Projet positif"
"Parfois je me dis que mes enfants seraient mieux sans moi",1,suicidal_ideation,loneliness|family_conflict,french,"⚠️ CRITIQUE — idéation parentale"
"Wã yaa kẽ ne maam, m tara sõng",0,,,moore,"Bonheur en Moore"
"Je n'arrive plus à nourrir ma famille, la honte me tue",1,depression|burnout,financial_stress|family_conflict,french,"Honte alimentaire — signal fort"
"An dɛmɛna ka kɛ mɔgɔ ɲuman ye",0,,,dioula,"Aspiration positive"
"Je bois pour oublier, mais rien n'efface la douleur",1,depression|burnout,grief|loneliness,french,"Automédication — signal fort"
"M tara sɔngo, Alla ka barka",0,,,moore,"Gratitude en Moore"
"Je n'ai confiance en personne ici, tout le monde me juge",1,anxiety|isolation,loneliness,french,"Méfiance sociale — signal"
"Saan ye ɲɔgɔn fɛ, an be sinsin",0,,,dioula,"Paix et résolution"
"Mon corps me fait mal partout mais les médecins ne trouvent rien",1,anxiety|depression,illness|loneliness,french,"Somatisation — signal modéré"
"Yaa wã sõng ne yẽ, n tara nabd",0,,,moore,"Connexion familiale positive"
"Je sens que je deviens fou, ma tête n'est plus à moi",1,anxiety|depression,illness,french,"Dissociation — signal fort"
"An bɛ sɔrɔ, a bɛ se ka kɛ",0,,,dioula,"Optimisme — positif"
